Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
WR,Josh Cameron (43728179),Josh Cameron,43728179,WR/FLEX,3000,CLE@JAX 09/13/2026 01:00PM ET,JAX,0,
WR,CJ Williams (43728181),CJ Williams,43728181,WR/FLEX,3000,CLE@JAX 09/13/2026 01:00PM ET,JAX,0,
WR,Tim Jones (43728183),Tim Jones,43728183,WR/FLEX,3000,CLE@JAX 09/13/2026 01:00PM ET,JAX,0.5,
WR,Austin Trammell (43728185),Austin Trammell,43728185,WR/FLEX,3000,CLE@JAX 09/13/2026 01:00PM ET,JAX,1.3,
WR,Chandler Brayboy (43728187),Chandler Brayboy,43728187,WR/FLEX,3000,CLE@JAX 09/13/2026 01:00PM ET,JAX,0,
WR,Brady Boyd (43728189),Brady Boyd,43728189,WR/FLEX,3000,CLE@JAX 09/13/2026 01:00PM ET,JAX,0,
WR,Ben Patterson (43728191),Ben Patterson,43728191,WR/FLEX,3000,CLE@JAX 09/13/2026 01:00PM ET,CLE,0,
WR,Trebor Pena (43728193),Trebor Pena,43728193,WR/FLEX,3000,CLE@JAX 09/13/2026 01:00PM ET,JAX,0,
WR,Michael Wortham (43728195),Michael Wortham,43728195,WR/FLEX,3000,CLE@JAX 09/13/2026 01:00PM ET,JAX,0,
WR,Chris Moore (43728197),Chris Moore,43728197,WR/FLEX,3000,BAL@IND 09/13/2026 01:00PM ET,BAL,2.8,
WR,LaJohntay Wester (43728199),LaJohntay Wester,43728199,WR/FLEX,3000,BAL@IND 09/13/2026 01:00PM ET,BAL,-0.1,
