Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
WR,Jared Wayne (43727877),Jared Wayne,43727877,WR/FLEX,3000,BUF@HOU 09/13/2026 01:00PM ET,HOU,4,
WR,Treyvhon Saunders (43727879),Treyvhon Saunders,43727879,WR/FLEX,3000,BUF@HOU 09/13/2026 01:00PM ET,HOU,0,
WR,Daniel Sobkowicz (43727881),Daniel Sobkowicz,43727881,WR/FLEX,3000,BUF@HOU 09/13/2026 01:00PM ET,HOU,0,
WR,Jha'Quan Jackson (43727883),Jha'Quan Jackson,43727883,WR/FLEX,3000,TB@CIN 09/13/2026 01:00PM ET,TB,0,
WR,DJ Turner (43727885),DJ Turner,43727885,WR/FLEX,3000,BUF@HOU 09/13/2026 01:00PM ET,HOU,0,Q
WR,Scotty Miller (43727887),Scotty Miller,43727887,WR/FLEX,3000,CHI@CAR 09/13/2026 01:00PM ET,CHI,1.1,
WR,Maurice Alexander (43727889),Maurice Alexander,43727889,WR/FLEX,3000,CHI@CAR 09/13/2026 01:00PM ET,CHI,0,
WR,JP Richardson (43727891),JP Richardson,43727891,WR/FLEX,3000,CHI@CAR 09/13/2026 01:00PM ET,CHI,0,
WR,Kaden Davis (43727893),Kaden Davis,43727893,WR/FLEX,3000,CHI@CAR 09/13/2026 01:00PM ET,CHI,0,
WR,Omari Kelly (43727895),Omari Kelly,43727895,WR/FLEX,3000,CHI@CAR 09/13/2026 01:00PM ET,CHI,0,
WR,Kyron Hudson (43727897),Kyron Hudson,43727897,WR/FLEX,3000,CHI@CAR 09/13/2026 01:00PM ET,CHI,0,Q
WR,Mitch Tinsley (43727899),Mitch Tinsley,43727899,WR/FLEX,3000,BUF@HOU 09/13/2026 01:00PM ET,HOU,1.9,
WR,Charlie Jones (43727901),Charlie Jones,43727901,WR/FLEX,3000,TB@CIN 09/13/2026 01:00PM ET,CIN,0.4,
WR,Ke'Shawn Williams (43727903),Ke'Shawn Williams,43727903,WR/FLEX,3000,TB@CIN 09/13/2026 01:00PM ET,CIN,0.1,
WR,Jordan Moore (43727905),Jordan Moore,43727905,WR/FLEX,3000,TB@CIN 09/13/2026 01:00PM ET,CIN,0,
WR,Kendric Pryor (43727907),Kendric Pryor,43727907,WR/FLEX,3000,TB@CIN 09/13/2026 01:00PM ET,CIN,0,
WR,Xavier Johnson (43727909),Xavier Johnson,43727909,WR/FLEX,3000,TB@CIN 09/13/2026 01:00PM ET,CIN,0,
WR,Dohnte Meyers (43727911),Dohnte Meyers,43727911,WR/FLEX,3000,TB@CIN 09/13/2026 01:00PM ET,CIN,0,
WR,Noah Thomas (43727913),Noah Thomas,43727913,WR/FLEX,3000,TB@CIN 09/13/2026 01:00PM ET,CIN,0,
WR,Tylan Wallace (43727915),Tylan Wallace,43727915,WR/FLEX,3000,CLE@JAX 09/13/2026 01:00PM ET,CLE,1,
WR,Malachi Corley (43727917),Malachi Corley,43727917,WR/FLEX,3000,CLE@JAX 09/13/2026 01:00PM ET,CLE,2.4,
WR,Jamari Thrash (43727919),Jamari Thrash,43727919,WR/FLEX,3000,CLE@JAX 09/13/2026 01:00PM ET,CLE,2.3,IR
WR,Gage Larvadain (43727921),Gage Larvadain,43727921,WR/FLEX,3000,CLE@JAX 09/13/2026 01:00PM ET,CLE,1,
WR,Luke Floriea (43727923),Luke Floriea,43727923,WR/FLEX,3000,CLE@JAX 09/13/2026 01:00PM ET,CLE,0,
WR,Aaron Anderson (43727925),Aaron Anderson,43727925,WR/FLEX,3000,CLE@JAX 09/13/2026 01:00PM ET,CLE,0,Q
WR,Kole Wilson (43727927),Kole Wilson,43727927,WR/FLEX,3000,CLE@JAX 09/13/2026 01:00PM ET,CLE,0,
WR,Jackson Meeks (43727929),Jackson Meeks,43727929,WR/FLEX,3000,NO@DET 09/13/2026 01:00PM ET,DET,0,
WR,Dominic Lovett (43727931),Dominic Lovett,43727931,WR/FLEX,3000,NO@DET 09/13/2026 01:00PM ET,DET,0,
WR,Cedrick Wilson Jr. (43727933),Cedrick Wilson Jr.,43727933,WR/FLEX,3000,NO@DET 09/13/2026 01:00PM ET,DET,0.9,Q
WR,Tom Kennedy (43727935),Tom Kennedy,43727935,WR/FLEX,3000,NO@DET 09/13/2026 01:00PM ET,DET,1.3,
